Stock ID,Stock Name,Jurisdiction,FMP,Science Center,Regional Ecosystem,FSSI Stock?,ITIS Taxon Serial Number,Scientific Name,Common Name,Stock Area,Assessment ID,Assessment Year,Assessment Month,Last Data Year,Update Type,Review Result,B Year,Estimated B,B Unit,B Basis,Blimit,Blimit Basis,Bmsy,Bmsy Basis,B/Blimit,B/Bmsy,MSY,MSY Unit
10573,Pacific sardine - Northern Subpopulation,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,161729,Sardinops sagax,Pacific sardine,Northern Subpopulation,8842,2019,4,2018,,Full acceptance,2019,27547,Metric Tons,Total Biomass - July 2019 Age 1+,50000,proxy of SSB based on what it would take to rebuild stock in 10 yrs,,,0.550999999,,,
10573,Pacific sardine - Northern Subpopulation,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,161729,Sardinops sagax,Pacific sardine,Northern Subpopulation,9748,2020,4,2019,,Full acceptance,2019,35186,Metric Tons,Biomass Age 1+ Fish - July,50000,proxy of B based on what it would take to rebuild stock in 10 yrs,,,0.703999996,,,
10573,Pacific sardine - Northern Subpopulation,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,161729,Sardinops sagax,Pacific sardine,Northern Subpopulation,12336,2021,4,2020,,Full acceptance,2019,35186,Metric Tons,Biomass Age 1+ Fish - July,50000,proxy of B based on what it would take to rebuild stock in 10 yrs,,,0.703999996,,,
10573,Pacific sardine - Northern Subpopulation,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,161729,Sardinops sagax,Pacific sardine,Northern Subpopulation,12316,2022,4,2021,,Full acceptance,2021,48856,Metric Tons,Biomass - Age 1+ - July,50000,proxy of B based on what it would take to rebuild stock in 10 yrs,,,0.976999998,,,
10005,Arrowtooth flounder - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,616029,Reinhardtius stomias,Arrowtooth flounder,Pacific Coast,942,2007,9,2006,Benchmark,Full acceptance,2007,63302,mt,Spawning biomass,20078.25,SPB25%,32125.19922,SPB40%,3.153000116,1.970000029,5148,mt
10005,Arrowtooth flounder - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,616029,Reinhardtius stomias,Arrowtooth flounder,Pacific Coast,6273,2015,9,2014,Partial Update,Full acceptance,2015,62620.39844,"mature female biomass
",Spawning biomass,10039.18848,SSB12.5%,20078.375,SSB25%,6.237999916,3.118999958,,
10005,Arrowtooth flounder - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,616029,Reinhardtius stomias,Arrowtooth flounder,Pacific Coast,7350,2017,6,2016,Full Update,Full acceptance,2016,56710,Metric Tons,Spawning Biomass,8181.029785,SSB12.5%,16362.0498,SSB25%,6.93200016,3.46600008,6774.799805,Metric Tons
10005,Arrowtooth flounder - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,616029,Reinhardtius stomias,Arrowtooth flounder,Pacific Coast,11637,2021,9,2020,,Full acceptance,2021,72583,Metric Tons,Spawning Stock Biomass,8181,SSB12.5%,16362,SSB25%,8.871999741,4.43599987,6758,Metric Tons
10547,Aurora rockfish - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166709,Sebastes aurora,Aurora rockfish,Pacific Coast,11819,2010,9,2009,New,Full acceptance,,,,,,,,,,,,
10547,Aurora rockfish - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166709,Sebastes aurora,Aurora rockfish,Pacific Coast,3851,2013,9,2012,Benchmark,Full acceptance,2013,1673.349976,Metric Tons,Spawning Stock Biomass,656.5200195,B25%,1050,B40%,2.549000025,1.593999982,72,Metric Tons
10448,Bank rockfish - California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,166761,Sebastes rufus,Bank rockfish,California,11866,2010,9,2009,Benchmark,Full acceptance,,,,,,,,,,,,
10728,Big skate - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,160848,Raja binoculata,Big skate,Pacific Coast,9024,2019,9,2018,,Full acceptance,2019,1999.300049,Metric Tons,Spawning Stock Biomass,631.1400146,SSB25%,1009.820007,SSB40%,3.167999983,1.980000019,703,Metric Tons
14408,Black rockfish - California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166727,Sebastes melanops,Black rockfish,California,6170,2015,11,2014,Benchmark,Full acceptance,2015,353,mt (female biomass only),Spawning biomass,265.625,SPB25%,425,"SPB40%

",1.328999996,0.83099997,343,mt
14408,Black rockfish - California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166727,Sebastes melanops,Black rockfish,California,9422,2019,9,2018,,Full acceptance,2019,610,Billion Eggs,Spawning Output,265.3999939,SPR 25%,424.6099854,SPR 40%,2.298000097,1.437000036,376.5,Metric Tons
10402,Black rockfish - Northern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,166727,Sebastes melanops,Black rockfish,Northern Pacific Coast,953,2007,9,2006,Benchmark,Full acceptance,2007,1281,mt (female biomass only),Spawning biomass,580.1779785,SPB25%,928.2839966,SPB40%,2.207999945,1.379999995,408,mt
14407,Black rockfish - Oregon,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166727,Sebastes melanops,Black rockfish,Oregon,6171,2015,11,2014,Benchmark,Full acceptance,2015,838.2160034,mt (female biomass only),Spawning biomass,346.1380005,SPB25%,553.8200073,"SPB40%

",2.421000004,1.513000011,518,mt
14407,Black rockfish - Oregon,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166727,Sebastes melanops,Black rockfish,Oregon,9423,2019,9,2018,,Full acceptance,2019,745,Billion Eggs,Spawning output,329.6000061,SPR25%,527.4000244,SPR40% as proxy,2.25999999,1.412999988,556,Metric Tons
